"TABLE 5. Average Published Tuition and Fees at Public Institutions by State in Current Dollars and in 2019 Dollars, 2004-05 to 2019-20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Public Two-Year In-District Tuition and Fees,,,,,,,,,,,,,,,,,,Public Four-Year In-State Tuition and Fees,,,,,,,,,,,,,,,,,,
In 2019 Dollars,2004-05,2005-06,2006-07,  2007-08 ,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,1-Year % Change,5-Year % Change,,2004-05,2005-06,2006-07,  2007-08 ,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,1-Year % Change,5-Year % Change
Ohio,"$4,336","$4,439","$4,331","$4,330","$4,101","$4,164","$4,392","$4,489","$4,712","$4,804","$4,880","$4,874","$4,607","$4,601","$4,788","$4,873",2%,0%,,"$11,157","$10,951","$10,647","$10,423","$9,884","$10,133","$10,658","$10,730","$10,939","$10,919","$10,862","$10,971","$10,989","$10,964","$11,001","$11,330",3%,4%
Oklahoma,"$2,853","$2,937","$2,907","$3,062","$3,141","$3,222","$3,333","$3,434","$3,542","$3,612","$3,765","$3,921","$4,221","$4,350","$4,464","$4,494",1%,19%,,"$4,789","$4,987","$5,588","$6,150","$6,580","$6,459","$6,767","$6,895","$7,171","$7,230","$7,626","$8,009","$8,564","$8,899","$8,960","$8,919",0%,17%
Oregon,"$3,878","$3,895","$3,985","$3,969","$3,891","$4,302","$4,407","$4,566","$4,728","$4,865","$4,909","$5,007","$5,102","$5,293","$5,422","$5,624",4%,15%,,"$7,073","$7,130","$7,030","$7,324","$7,277","$8,228","$8,749","$9,078","$9,309","$9,446","$9,621","$10,075","$10,384","$10,817","$10,800","$11,220",4%,17%
Pennsylvania,"$3,885","$4,007","$3,921","$3,983","$3,902","$4,108","$4,084","$4,460","$4,704","$4,888","$5,059","$5,297","$5,572","$5,587","$5,581","$5,658",1%,12%,,"$11,175","$11,349","$11,411","$12,061","$12,076","$12,824","$13,335","$13,724","$13,861","$14,061","$14,145","$14,398","$14,867","$15,209","$15,082","$14,937",-1%,6%
Puerto Rico,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,"$1,590","$1,853","$1,792","$2,200","$2,179","$2,254","$3,000","$2,967","$3,070","$2,100","$2,248","$2,269","$2,319","$2,201","$3,823","$4,004",5%,78%
Rhode Island,"$3,129","$3,243","$3,386","$3,506","$3,604","$4,022","$4,298","$4,175","$4,424","$4,338","$4,254","$4,586","$4,548","$4,780","$4,647","$4,700",1%,10%,,"$8,037","$8,455","$8,557","$8,894","$9,013","$10,131","$10,967","$11,373","$12,230","$11,967","$11,801","$12,251","$12,179","$12,829","$12,793","$13,060",2%,11%
South Carolina,"$3,831","$3,862","$3,940","$3,985","$3,903","$4,147","$4,291","$4,221","$4,757","$4,933","$4,999","$5,130","$5,314","$5,681","$5,727","$5,854",2%,17%,,"$8,956","$9,697","$9,977","$10,311","$10,652","$11,342","$11,843","$11,761","$12,032","$12,264","$12,331","$12,703","$13,015","$13,207","$13,201","$13,057",-1%,6%
South Dakota,"$4,111","$4,197","$4,348","$4,429","$4,595","$5,140","$5,396","$5,614","$6,124","$6,086","$6,143","$6,599","$6,708","$6,876","$6,802","$6,989",3%,14%,,"$5,890","$6,031","$6,265","$6,581","$6,646","$7,185","$7,435","$7,715","$8,274","$8,396","$8,292","$8,660","$8,701","$8,846","$8,841","$8,977",2%,8%
Tennessee,"$2,976","$3,138","$3,139","$3,242","$3,239","$3,540","$3,761","$4,034","$4,098","$4,133","$4,250","$4,471","$4,544","$4,528","$4,658","$4,646",0%,9%,,"$5,833","$6,254","$6,270","$6,608","$6,632","$7,265","$7,676","$8,143","$8,596","$8,826","$9,612","$9,959","$10,168","$10,272","$10,158","$10,255",1%,7%
Texas,"$1,872","$1,929","$2,030","$2,031","$1,939","$2,080","$2,187","$2,317","$2,403","$2,421","$2,466","$2,498","$2,598","$2,683","$2,664","$2,754",3%,12%,,"$6,875","$7,071","$7,546","$7,945","$8,070","$8,731","$9,114","$9,145","$9,344","$9,359","$9,517","$9,913","$10,167","$10,356","$10,347","$10,468",1%,10%
